City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_ID
Solnechnyy,50.7214,136.6319,0.25,88,0,1.99,RU,1615124318,0
Saldanha,-33.0117,17.9442,71.6,64,100,17.27,ZA,1615124318,1
Cherskiy,68.75,161.3,-20.51,88,93,6.44,RU,1615124318,2
Busselton,-33.65,115.3333,67.24,84,79,1.99,AU,1615124318,3
Punta Arenas,-53.15,-70.9167,42.39,87,75,17.27,CL,1615124318,4
Castro,-24.7911,-50.0119,69.55,87,75,3.22,BR,1615124249,5
Karlshamn,56.1706,14.8619,40.1,38,0,17.27,SE,1615124318,6
Bariloche,-41.1456,-71.3082,62.6,59,40,23.02,AR,1615124319,7
Cape Town,-33.9258,18.4232,66.49,68,75,20.71,ZA,1615124319,8
Mataura,-46.1927,168.8643,51.01,69,85,15.99,NZ,1615124319,9
Rawson,-43.3002,-65.1023,78.64,31,100,20.13,AR,1615124319,10
Albany,42.6001,-73.9662,22.78,41,0,1.01,US,1615124319,11
Ushuaia,-54.8,-68.3,42.8,87,75,16.11,AR,1615124319,12
Andros Town,24.7,-77.7667,73.4,78,40,5.75,BS,1615124319,13
Ternate,0.8,127.4,80.83,79,55,6.93,ID,1615124066,14
Nouadhibou,20.931,-17.0347,77.0,36,0,27.63,MR,1615124320,15
Binday,16.1271,120.4525,75.58,73,30,4.61,PH,1615124320,16
Bambous Virieux,-20.3428,57.7575,83.64,79,75,5.75,MU,1615124320,17
Novoagansk,61.9449,76.6625,7.66,96,99,4.97,RU,1615124320,18
Vaini,-21.2,-175.2,78.8,100,40,5.75,TO,1615124320,19
Carnarvon,-24.8667,113.6333,78.8,100,0,18.41,AU,1615124320,20
Quatre Cocos,-20.2078,57.7625,83.57,79,75,5.75,MU,1615124321,21
Mackay,-21.15,149.2,76.89,73,6,6.91,AU,1615124321,22
Saint-Philippe,-21.3585,55.7679,76.55,89,52,6.91,RE,1615124321,23
Butaritari,3.0707,172.7902,81.01,77,0,10.69,KI,1615124321,24
Saskylakh,71.9167,114.0833,-29.87,84,96,2.66,RU,1615124321,25
Ilulissat,69.2167,-51.1,19.4,86,75,13.8,GL,1615124321,26
Tura,25.5198,90.2201,68.63,33,0,2.91,IN,1615124321,27
Okha,53.5739,142.9478,-6.84,87,0,9.91,RU,1615124321,28
Atuona,-9.8,-139.0333,78.87,73,82,10.54,PF,1615124322,29
Souillac,-20.5167,57.5167,84.2,79,75,5.75,MU,1615124322,30
Puerto Ayora,-0.7393,-90.3518,78.01,97,60,5.97,EC,1615124322,31
Nantucket,41.2835,-70.0995,25.36,68,1,11.5,US,1615124322,32
Paita,-5.0892,-81.1144,78.8,69,0,17.27,PE,1615124322,33
Nadvoitsy,63.8667,34.3167,14.25,95,100,14.41,RU,1615124322,34
Rikitea,-23.1203,-134.9692,79.47,82,100,18.57,PF,1615124322,35
Thompson,55.7435,-97.8558,33.8,75,90,3.44,CA,1615124322,36
Pasni,25.2631,63.471,76.57,64,0,17.63,PK,1615124323,37
Flinders,-34.5833,150.8552,69.42,80,100,1.01,AU,1615124323,38
Mahébourg,-20.4081,57.7,84.2,79,75,5.75,MU,1615124323,39
Yumen,40.2833,97.2,42.26,48,0,1.7,CN,1615124323,40
Avarua,-21.2078,-159.775,80.6,89,40,4.61,CK,1615124323,41
Bluff,-46.6,168.3333,51.01,69,73,15.99,NZ,1615124323,42
Krasnosel'kup,65.7,82.4667,-11.34,89,73,7.87,RU,1615124323,43
Yellowknife,62.456,-114.3525,4.62,78,90,9.22,CA,1615124324,44
Belaya Gora,68.5333,146.4167,-12.78,90,100,8.12,RU,1615124324,45
Katsuura,35.1333,140.3,46.09,61,75,8.05,JP,1615124324,46
Arraial do Cabo,-22.9661,-42.0278,75.97,88,90,9.22,BR,1615124324,47
Goya,-29.14,-59.2626,81.32,32,0,3.65,AR,1615124324,48
Bengkulu,-3.8004,102.2655,77.52,80,99,6.08,ID,1615124324,49
Esperance,-33.8667,121.9,62.6,88,0,6.91,AU,1615124324,50
Port Alfred,-33.5906,26.891,75.0,78,0,4.0,ZA,1615124325,51
Hobart,-42.8794,147.3294,57.4,77,90,5.75,AU,1615124325,52
Neuquén,-38.9516,-68.0591,73.4,49,0,4.61,AR,1615124211,53
Kapaa,22.0752,-159.319,67.06,78,75,18.41,US,1615124140,54
Arrifes,37.7667,-25.7,62.6,88,20,13.8,PT,1615124325,55
San Patricio,28.017,-97.5169,53.28,87,1,8.05,US,1615124325,56
Ponta do Sol,32.6667,-17.1,59.34,59,55,5.99,PT,1615124325,57
Tuatapere,-46.1333,167.6833,51.01,69,67,15.99,NZ,1615124326,58
Mahajanga,-15.7167,46.3167,86.0,74,20,14.97,MG,1615124185,59
Fairbanks,64.8378,-147.7164,-6.27,77,1,2.55,US,1615124127,60
La Rioja,42.25,-2.5,50.54,81,90,2.3,ES,1615124326,61
Homer,59.6425,-151.5483,19.15,79,1,4.97,US,1615124326,62
‘Āhuimanu,21.4447,-157.8378,70.3,73,40,11.5,US,1615124326,63
Tiksi,71.6872,128.8694,-17.57,85,100,7.78,RU,1615124326,64
Ussuriysk,43.7986,131.9508,23.0,86,20,4.47,RU,1615124327,65
Khatanga,71.9667,102.5,-24.81,86,44,9.89,RU,1615124327,66
Norman Wells,65.282,-126.8329,1.4,78,75,16.11,CA,1615124327,67
Chokurdakh,70.6333,147.9167,-12.51,89,100,11.48,RU,1615124327,68
Lorengau,-2.0226,147.2712,81.73,73,99,1.79,PG,1615124327,69
Sidi Ali,36.0998,0.4206,58.8,76,100,11.12,DZ,1615124327,70
Clyde River,70.4692,-68.5914,-27.4,68,1,3.44,CA,1615124327,71
Ciudad Guayana,8.3533,-62.6528,86.9,52,19,9.69,VE,1615124327,72
Khairāgarh,26.95,77.8167,82.67,15,0,1.83,IN,1615124328,73
Yangi Marg`ilon,40.4272,71.7189,53.6,43,75,2.3,UZ,1615124328,74
Tateyama,34.9833,139.8667,46.49,63,100,8.77,JP,1615124328,75
Sobolevo,54.4299,31.8996,29.55,94,100,18.16,RU,1615124328,76
Aksha,50.2814,113.2867,13.14,94,0,1.92,RU,1615124328,77
Leningradskiy,69.3833,178.4167,-18.99,76,99,2.53,RU,1615124328,78
Beidao,34.5686,105.8933,35.01,57,100,3.0,CN,1615124329,79
Rocha,-34.4833,-54.3333,75.51,56,0,4.43,UY,1615124329,80
East London,-33.0153,27.9116,73.4,73,0,16.11,ZA,1615124329,81
Qaanaaq,77.484,-69.3632,-14.96,65,0,4.94,GL,1615124329,82
Province of Trapani,37.8333,12.6667,59.41,48,0,20.71,IT,1615124329,83
Dunedin,-45.8742,170.5036,46.9,78,8,4.0,NZ,1615124330,84
Provincia di Imperia,43.9667,7.7833,55.11,47,0,11.5,IT,1615124330,85
Kloulklubed,7.0419,134.2556,80.6,83,40,5.75,PW,1615124330,86
Andenes,69.3143,16.1194,32.0,55,75,12.66,NO,1615124330,87
Kropotkin,45.4375,40.5756,37.35,68,0,6.08,RU,1615124330,88
Hermanus,-34.4187,19.2345,63.0,92,100,1.01,ZA,1615124331,89
Saint Paul Harbor,57.79,-152.4072,33.8,60,1,5.75,US,1615124331,90
Saint-François,46.4154,3.9054,51.71,62,0,2.3,FR,1615124331,91
Adrar,20.5022,-10.0711,79.88,17,0,13.8,MR,1615124331,92
Bembèrèkè,10.2283,2.6634,106.45,12,0,4.38,BJ,1615124331,93
Liwale,-9.7667,37.9333,78.71,79,100,2.89,TZ,1615124331,94
