City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nuuk,64.1835,-51.7216,6.0,49,3,6.17,GL,1614923768
Tinaquillo,9.9186,-68.3047,20.64,85,50,2.35,VE,1614923768
Morón,-34.6534,-58.6198,22.74,94,4,0.89,AR,1614923769
Soyo,-6.1349,12.3689,26.84,88,85,1.27,AO,1614923649
Fairbanks,64.8378,-147.7164,-19.15,84,1,2.21,US,1614923770
Madang,-5.2246,145.7966,31.99,60,100,2.83,PG,1614923772
New Norfolk,-42.7826,147.0587,13.85,44,75,10.29,AU,1614923773
Tshikapa,-6.4167,20.8,22.23,92,90,1.04,CD,1614923774
Lethem,3.3803,-59.7968,24.72,78,67,4.68,GY,1614923775
Mossamedes,-15.1961,12.1522,23.57,82,26,1.46,AO,1614923775
Yabēlo,4.8833,38.0833,21.44,48,52,8.66,ET,1614923777
Hambantota,6.1241,81.1185,31.0,62,40,4.63,LK,1614923778
Saint Paul Harbor,57.79,-152.4072,1.0,69,1,5.66,US,1614923778
Kapaa,22.0752,-159.319,19.25,94,90,10.8,US,1614923780
Ushuaia,-54.8,-68.3,14.0,30,90,8.75,AR,1614923781
Hobart,-42.8794,147.3294,14.11,44,75,10.29,AU,1614923782
Cayenne,4.9333,-52.3333,25.65,88,75,1.54,GF,1614923783
Mataura,-46.1927,168.8643,15.0,79,100,2.24,NZ,1614923784
Port Alfred,-33.5906,26.891,21.11,85,12,1.34,ZA,1614923784
Viedma,-40.8135,-62.9967,16.56,68,100,2.95,AR,1614923785
Bambous Virieux,-20.3428,57.7575,28.42,74,40,1.54,MU,1614923787
Cockburn Town,21.4612,-71.1419,25.22,74,0,1.67,TC,1614923788
Gijang,35.2442,129.2139,18.0,48,75,4.12,KR,1614923788
Mahébourg,-20.4081,57.7,28.0,74,40,1.54,MU,1614923789
Moanda,-1.5575,13.2178,24.0,94,20,1.07,GA,1614923789
Rikitea,-23.1203,-134.9692,27.48,81,13,2.8,PF,1614923790
Canatlán,24.5167,-104.7833,14.74,34,89,2.27,MX,1614923791
Antofagasta,-23.65,-70.4,19.0,82,0,0.51,CL,1614923764
Lundazi,-12.2929,33.1782,20.16,89,87,2.48,ZM,1614923791
São Filipe,14.8961,-24.4956,20.94,76,99,4.16,CV,1614923792
Hirado,33.3597,129.5531,15.34,77,75,6.17,JP,1614923794
Castro,-24.7911,-50.0119,17.91,94,100,3.81,BR,1614923795
Chaumont,48.1167,5.1333,4.44,92,93,0.45,FR,1614923721
Teya,60.3778,92.6267,-3.47,93,100,5.07,RU,1614923796
Upernavik,72.7868,-56.1549,-25.78,81,4,7.29,GL,1614923797
Puerto Ayora,-0.7393,-90.3518,22.78,98,73,1.96,EC,1614923798
Lüderitz,-26.6481,15.1594,20.17,55,0,4.68,NA,1614923798
Tasiilaq,65.6145,-37.6368,1.0,93,75,0.51,GL,1614923799
Mayumba,-3.432,10.6554,25.92,87,92,1.98,GA,1614923801
Bethel,41.3712,-73.414,-5.04,56,3,1.34,US,1614923801
Kirakira,-10.4544,161.9205,27.57,79,100,5.21,SB,1614923802
Barrow,71.2906,-156.7887,-28.0,63,90,11.83,US,1614923802
Cape Town,-33.9258,18.4232,17.37,77,0,1.03,ZA,1614923804
Barinas,8.6226,-70.2075,26.14,49,70,1.5,VE,1614923804
Sistranda,63.7256,8.834,1.0,86,75,3.6,NO,1614923805
Leh,34.1667,77.5833,-7.36,74,1,1.06,IN,1614923806
Miramar,25.9873,-80.2323,16.83,88,1,2.06,US,1614923807
Ixtapa,20.7,-105.2,20.56,89,44,1.34,MX,1614923807
Carnarvon,-24.8667,113.6333,28.0,65,20,6.17,AU,1614923807
Chui,-33.6971,-53.4616,20.85,92,66,2.67,UY,1614923809
Kahului,20.8947,-156.47,19.33,64,20,4.12,US,1614923810
